RK  TEAM    ATT COMP    PCT YDS YDS/A   LONG    TD  INT SACK    YDSL    RATE    YDS/G
1	Baltimore	22	15	68.2	95	5.0	33	0	0	2	16	79.9	95
2	San Francisco	35	17	48.6	120	3.7	22	0	2	2	10	34.2	120
3	Seattle	29	16	55.2	150	6.4	50	0	0	5	36	74.8	150
4	Carolina	26	18	69.2	159	6.8	25	1	2	2	19	69.1	159
5	Philadelphia	26	12	46.2	168	7.3	58	0	1	3	22	55.0	168
6	Denver	33	18	54.5	176	5.9	18	1	1	3	18	69.5	176
7	Houston	29	16	55.2	185	7.4	54	1	1	5	31	76.2	185
8	Cincinnati	35	19	54.3	188	5.4	24	2	1	1	1	77.0	188
9	Jacksonville	34	20	58.8	199	5.9	32	2	0	1	0	95.1	199
10	Dallas	28	19	67.9	203	7.4	45	3	1	2	4	110.3	203
11	Chicago	35	22	62.9	215	6.6	35	2	1	2	16	89.1	215
12	Buffalo	34	23	67.6	225	7.6	66	1	0	4	33	99.9	225
13	NY Giants	45	25	55.6	227	5.0	21	0	0	0	0	69.4	227
14	Kansas City	36	25	69.4	233	6.8	38	1	0	1	10	97.3	233
15	Tennessee	33	18	54.5	236	7.2	33	0	0	0	0	77.3	236
16	Miami	43	27	62.8	240	6.0	24	1	1	3	18	77.5	240
17	Minnesota	41	25	61.0	252	6.6	29	2	1	2	19	86.5	252
18  New England	37	24	64.9	252	7.3	39	2	0	3	19	104.7	252
19	Arizona	33	24	72.7	257	8.0	37	1	0	2	7	106.1	257
20	Cleveland	37	22	59.5	270	7.5	35	2	0	2	8	101.0	270
21	Atlanta	33	23	69.7	281	8.5	45	4	1	0	0	122.6	281
22	Washington	37	27	73.0	288	8.1	42	3	1	1	12	112.4	288
23	Green Bay	39	24	61.5	300	8.2	38	1	1	3	20	85.4	300
24	New Orleans	38	24	63.2	319	8.4	43	1	0	0	0	98.5	319
25	Tampa Bay	39	27	69.2	322	8.6	59	2	0	3	12	112.6	322
26	NY Jets	30	23	76.7	324	12.2	54	1	1	7	42	114.0	324
27	Pittsburgh	43	30	69.8	329	7.7	33	0	2	0	0	72.7	329
28	San Diego	48	34	70.8	330	7.6	45	2	1	3	33	97.8	330
29	Indianapolis	39	31	79.5	332	8.7	32	3	0	1	8	128.6	332
30	Detroit	47	31	66.0	368	8.2	51	4	0	2	17	119.5	368
31	Oakland	42	28	66.7	419	10.1	98	4	0	1	4	131.3	419
