RK	TEAM	REC	YDS	AVG	LONG	TD	YDS/G	FUM	FUML
1	Baltimore	15	111	7.4	33	0	111.0	0	0
2	San Francisco	17	130	7.6	22	0	130.0	0	0
3	Carolina	18	178	9.9	25	1	178.0	0	0
4	Seattle	16	186	11.6	50	0	186.0	0	0
5	Cincinnati	19	189	9.9	24	2	189.0	0	0
6	Philadelphia	12	190	15.8	58	0	190.0	0	0
7	Denver	18	194	10.8	18	1	194.0	0	0
8	Jacksonville	20	199	10.0	32	2	199.0	0	0
9	Dallas	19	207	10.9	45	3	207.0	0	0
10	Houston	16	216	13.5	54	1	216.0	0	0
11	NY Giants	25	227	9.1	21	0	227.0	0	0
12	Chicago	22	231	10.5	35	2	231.0	0	0
13	Tennessee	18	236	13.1	33	0	236.0	0	0
14	Kansas City	25	243	9.7	38	1	243.0	0	0
15	Buffalo	23	258	11.2	66	1	258.0	0	0
16 	Miami	27	258	9.6	24	1	258.0	0	0
17	Arizona	24	264	11.0	37	1	264.0	0	0
18	Minnesota	25	271	10.8	29	2	271.0	0	0
19  New England	24	271	11.3	39	2	271.0	0	0
20	Cleveland	22	278	12.6	35	2	278.0	0	0
21	Atlanta	23	281	12.2	45	4	281.0	0	0
22	Washington	27	300	11.1	42	3	300.0	0	0
23	New Orleans	24	319	13.3	43	1	319.0	1	0
24	Green Bay	24	320	13.3	38	1	320.0	1	0
25	Pittsburgh	30	329	11.0	33	0	329.0	1	0
26	Tampa Bay	27	334	12.4	59	2	334.0	0	0
27	Indianapolis	31	340	11.0	32	3	340.0	0	0
28	San Diego	34	363	10.7	45	2	363.0	0	0
29	NY Jets	23	366	15.9	54	1	366.0	0	0
30	Detroit	31	385	12.4	51	4	385.0	0	0
31	Oakland	28	423	15.1	98	4	423.0	1	0
