RK	TEAM	ATT	YDS	YDS/A	LONG	TD	YDS/G	FUM	FUML
1	Green Bay	48	78	1.6	12	1	39.0	0	0
2	Pittsburgh	30	101	3.4	12	1	50.5	0	0
3	Seattle	45	128	2.8	11	1	64.0	1	0
4	NY Giants	43	142	3.3	13	1	71.0	0	0
5	NY Jets	38	143	3.8	24	1	71.5	1	0
6	Minnesota	45	147	3.3	13	1	73.5	3	2
7	San Diego	30	152	5.1	24	2	76.0	0	0
8	Tampa Bay	51	153	3.0	10	1	76.5	0	0
9	New England	35	162	4.6	45	2	81.0	3	1
10	Philadelphia	39	184	4.7	20	2	92.0	1	1
11	Arizona	52	191	3.7	24	1	95.5	2	1
12	Houston	39	192	4.9	28	1	96.0	3	2
13	Dallas	41	195	4.8	17	1	97.5	0	0
14	Tennessee	51	202	4.0	28	0	101.0	0	0
15	Buffalo	64	206	3.2	12	3	103.0	1	1
16	Baltimore	47	210	4.5	85	2	105.0	1	0
17	Cleveland	60	213	3.6	19	1	106.5	1	0
18  Carolina	55	213	3.9	28	3	106.5	2	2
19	Detroit	43	221	5.1	67	0	110.5	0	0
20	Oakland	51	227	4.5	18	1	113.5	0	0
21	Chicago	67	229	3.4	30	2	114.5	1	0
22	New Orleans	58	231	4.0	75	3	115.5	1	1
23	Denver	53	240	4.5	21	2	120.0	0	0
24	San Francisco	60	241	4.0	25	0	120.5	1	1
25	Atlanta	53	245	4.6	26	1	122.5	0	0
26  Jacksonville	60	245	4.1	28	2	122.5	0	0
27	Washington	60	249	4.2	21	5	124.5	2	1
28	Indianapolis	55	250	4.5	21	3	125.0	0	0
29	Kansas City	66	252	3.8	21	2	126.0	0	0
30	Miami	70	273	3.9	26	1	136.5	2	1
31	Cincinnati	66	276	4.2	16	0	138.0	1	0
