RK	TEAM	ATT	COMP	PCT	YDS	YDS/A	LONG	TD	INT	SACK	YDSL	RATE	YDS/G
1	Baltimore	55	35	63.6	337	6.7	47	2	2	5	34	80.2	169
2	Denver	73	39	53.4	346	5.4	30	2	2	8	45	66.6	173
3	Houston	66	36	54.5	357	6.1	54	1	1	9	45	71.7	179
4	Seattle	59	34	57.6	369	7.2	50	0	0	8	56	80.1	185
5	Philadelphia	55	33	60.0	388	7.7	58	0	2	6	37	69.1	194
6	Chicago	69	43	62.3	395	6.1	35	3	1	4	26	87.9	198
7	Carolina	62	35	56.5	396	6.8	75	3	4	4	25	66.7	198
8	Jacksonville	59	37	62.7	406	7.1	45	6	0	4	13	117.8	203
9	Minnesota	77	45	58.4	432	6.3	39	3	2	7	52	79.1	216
10	Cincinnati	72	38	52.8	438	6.2	53	5	3	2	10	77.8	219
11	San Francisco	75	41	54.7	473	6.4	78	4	3	3	10	75.6	237
12	Tennessee	73	40	54.8	474	6.8	47	1	1	4	22	74.9	237
13  NY Giants	89	54	60.7	474	5.5	23	1	0	2	16	79.3	237
14	Arizona	85	51	60.0	478	6.0	37	2	4	5	29	65.2	239
15	Kansas City	69	44	63.8	487	7.4	53	2	2	3	24	83.7	244
16	Miami	79	51	64.6	544	7.4	37	4	1	5	40	98.3	272
17	Dallas	74	47	63.5	553	7.7	57	4	2	4	18	93.9	277
18	Green Bay	70	46	65.7	554	8.7	46	3	1	7	52	101.2	277
19	Washington	67	49	73.1	568	8.8	42	3	1	5	24	108.6	284
20	Cleveland	82	47	57.3	572	7.1	35	4	2	2	8	85.4	286
21	Atlanta	77	57	74.0	580	7.5	45	7	1	1	0	120.0	290
22	Detroit	80	56	70.0	592	7.8	51	6	1	5	31	112.7	296
23	Buffalo	67	46	68.7	595	9.4	66	2	0	5	37	108.6	298
24	Indianapolis	72	53	73.6	598	8.4	44	3	1	2	8	106.6	299
25	NY Jets	61	42	68.9	631	11.0	84	4	2	7	42	113.6	316
26	Tampa Bay	74	46	62.2	637	8.8	59	5	0	4	16	113.2	319
27	New England	82	56	68.3	641	8.0	39	4	2	3	19	98.6	321
28	San Diego	98	65	66.3	649	7.1	45	4	3	5	43	87.6	325
29	New Orleans	79	56	70.9	672	8.7	43	1	0	2	15	101.6	336
30	Pittsburgh	97	61	62.9	695	7.2	33	1	2	1	0	79.2	348
31	Oakland	76	54	71.1	808	10.8	98	7	1	2	11	131.4	404
