RK	TEAM	REC	YDS	AVG	LONG	TD	YDS/G	FUM	FUML
1	Baltimore	35	371	10.6	47	2	185.5	0	0
2	Denver	39	391	10.0	30	2	195.5	0	0
3	Houston	36	402	11.2	54	1	201.0	0	0
4	Jacksonville	37	419	11.3	45	6	209.5	0	0
5	Chicago	43	421	9.8	35	3	210.5	0	0
6 	Carolina	35	421	12.0	75	3	210.5	0	0
7	Philadelphia	33	425	12.9	58	0	212.5	0	0
8   Seattle	34	425	12.5	50	0	212.5	0	0
9	Cincinnati	38	448	11.8	53	5	224.0	0	0
10	San Francisco	41	483	11.8	78	4	241.5	0	0
11	Minnesota	45	484	10.8	39	3	242.0	1	1
12	NY Giants	54	490	9.1	23	1	245.0	0	0
13	Tennessee	40	496	12.4	47	1	248.0	0	0
14	Arizona	51	507	9.9	37	2	253.5	0	0
15	Kansas City	44	511	11.6	53	2	255.5	0	0
16	Dallas	47	571	12.1	57	4	285.5	0	0
17	Atlanta	57	580	10.2	45	7	290.0	1	0
18 Cleveland	47	580	12.3	35	4	290.0	0	0
19	Miami	51	584	11.5	37	4	292.0	1	1
20	Washington	49	592	12.1	42	3	296.0	0	0
21	Green Bay	46	606	13.2	46	3	303.0	2	0
22 Indianapolis	53	606	11.4	44	3	303.0	0	0
23	Detroit	56	623	11.1	51	6	311.5	0	0
24	Buffalo	46	632	13.7	66	2	316.0	1	1
25	Tampa Bay	46	653	14.2	59	5	326.5	0	0
26	New England	56	660	11.8	39	4	330.0	1	1
27	NY Jets	42	673	16.0	84	4	336.5	0	0
28	New Orleans	56	687	12.3	43	1	343.5	2	1
29	San Diego	65	692	10.6	45	4	346.0	0	0
30	Pittsburgh	61	695	11.4	33	1	347.5	3	2
31	Oakland	54	819	15.2	98	7	409.5	1	0
